id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,distance_to_burj_khalifa,distance_to_burj_al_arab,distance_to_dubai_frame,distance_to_dubai_marina,distance_to_museum_of_the_future,distance_to_dubai_creek,distance_to_palm_jumeirah,distance_to_jbr
7023909,Business Bay,25.185337,55.2763,2353146,1168,2014.68,2,3,Medium,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1.332886972234876,10.411964050829372,6.1813690972363675,18.529266816724665,2.233818381802259,8.921571925100155,16.09644446175717,18.27895762976809
7026636,Dubai Marina,25.089393,55.147796,2800000,3172,882.72,4,5,Low,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.495926933072976,6.880729466903468,22.272457749405046,1.8204291788901639,17.83166691331875,25.307461474235346,2.748624311963956,1.514914174760242
7033393,DAMAC Hills,25.016736,55.25101,365000,451,809.31,0,1,Medium,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,20.204411635411695,15.363684643184275,25.011405649022656,13.20653715633171,21.00647888002876,27.396539584156628,15.579751092855972,13.476783460546805
7047499,Palm Jumeirah,25.132519,55.151574,1980000,935,2117.65,1,1,Medium,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.301426517105453,3.5036070899304,18.691909177977195,6.444642258986383,14.441814227134788,21.764525486419394,2.6067691477334134,6.023857891075704
7052024,Dubai Marina,25.086376,55.14736,2300000,775,2967.74,1,2,Medium,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,17.759156138779932,7.187538445174645,22.551576070572228,1.528827718984168,18.104789963328944,25.58257761563066,3.0508405848339266,1.2697737542992147
7052085,Dubai Marina,25.086575,55.147768000000006,2200000,1277,1722.79,2,3,Medium,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,17.714225773026794,7.147113297621413,22.50774770109904,1.5725719982369386,18.060510278000155,25.538421193755557,3.0426738024396283,1.316223762259532
7061799,Dubai Creek Harbour (The Lagoons),25.204631,55.343457,1270000,981,1294.6,1,2,Low,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.996884020732814,17.43196864129325,6.0156636567562884,25.195417153829055,7.309919930102876,6.065836199515457,23.068029328859996,24.987190884208513
7065369,Jumeirah Beach Residence,25.072954,55.128089,2650000,1703,1556.08,2,2,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.193996964601915,9.517993453904767,24.96060114192494,0.9970546045113945,20.525728129594352,27.999482582298057,4.511393295085613,1.1837665048698494
7075159,Jumeirah Lake Towers,25.065736,55.137452,375000,450,833.33,0,1,Medium,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,20.0936281274894,9.670635664628147,24.942153904311535,1.141316743977641,20.476880091616945,27.95639114615317,5.200328995347054,1.5870585120650356
7080801,Jumeirah Golf Estates,25.029767,55.206417,1150000,1367,841.26,2,3,Low,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83606762643949,12.588055468644148,24.849230467249306,8.646578158017254,20.513837579838626,27.543608176974743,11.488068819341796,8.957428366119194
7081717,Business Bay,25.183133,55.25658000000001,2400000,1965,1221.37,3,4,Medium,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2.379432257777326,8.575308602874427,7.28378985781058,16.907404903163254,2.802080675946968,10.244420288649378,14.279584445615887,16.633303289900926
7081836,Business Bay,25.183133,55.25658000000001,1700000,1358,1251.84,2,3,Medium,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2.379432257777326,8.575308602874427,7.28378985781058,16.907404903163254,2.802080675946968,10.244420288649378,14.279584445615887,16.633303289900926
7081881,Business Bay,25.183133,55.25658000000001,1709847,1367,1250.8,2,3,Medium,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2.379432257777326,8.575308602874427,7.28378985781058,16.907404903163254,2.802080675946968,10.244420288649378,14.279584445615887,16.633303289900926
7082693,Jumeirah,25.215192,55.235827,12000000,2631,4561.0,3,5,Medium,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4.366054670370428,9.678322409631914,6.586235719181703,18.376813581111033,3.7033163357329477,9.580447939183516,15.070685930082043,18.03145958721861
